mgmt_is_effective,gender,education,able_read,able_write,house_quality,mobile_phone,smart_phone,own_tv,curr_wellbeing,change_wellbeing,invite_meetings,attend_meetings,interest_part_manage,member_SFC,freq_info_SFC,influence_SFC,marine_bylaws,government_contacted,ranger_patrols,main_reef_fish,main_pelagic_fish,main_octopus,main_sharks,main_cucumbers,main_shellfish,main_crabs,main_seaweed,p_s_reef_fish,p_s_pelagic_fish,p_s_octopus,p_s_sharks,p_s_cucumbers,p_s_shellfish,p_s_crabs,p_s_seaweed,imp_reef_fish,imp_pelagic_fish,imp_octopus,imp_shellfish,imp_seaweed,marine_job,p_s_marine_job,member_credit,current_income,change_income,p_fisher,s_fisher,p_s_fisher,has_second_job
1,1,2,1,1,3,1,0,0,3,2,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1
1,2,1,0,0,4,0,0,0,3,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
1,2,3,1,1,4,1,1,0,3,1,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,1,0,0,0,1
1,2,3,1,1,4,1,0,0,3,3,1,1,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,3,0,0,0,1
1,1,3,1,1,3,1,1,0,3,1,1,1,1,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1
1,1,1,1,1,2,0,0,0,1,1,1,1,1,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1,1,2,1,1,3,1,0,0,3,2,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1
1,1,1,0,0,3,0,0,0,2,2,1,0,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
1,1,2,1,1,3,1,1,1,3,2,1,1,1,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1
1,2,3,1,1,3,1,1,1,3,1,0,0,1,0,3,2,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2,2,0,0,0,1
